Ethereal in E,The Rhythm of Rain,Instrumental
Mohit Chauhan,Ishq Mitaye (From "Amar Singh Chamkila"),Hindi
Mustard,Parking Lot,English
BURNOUT SYNDROMES,PHOENIX,Japanese
GIVĒON,Lost Me,English
```
```csv
Artist,Name of Song,Language
Jhené Aiko,Moments,English
Avenoir,D4U - Spotify Singles,English
SZA,Love Galore (feat. Travis Scott),English
Jhené Aiko,P*$$Y Fairy (OTW),English
Jhené Aiko,Above And Beyond,English
Sonder,Sirens,English
SG Lewis,Feed The Fire (feat. Lucky Daye),English
Majid Jordan,Superstar,English
Wiz Khalifa,Hide It (feat. Don Toliver),English
Jordan Adetunji,KEHLANI (REMIX) [feat. Kehlani],English
Muni Long,Made For Me (with Mariah Carey),English
Tamia,So Into You,English
A Boogie Wit da Hoodie,Body (feat. Nemzzz) - UK Remix,English
Jordan Adetunji,Options (feat. Lil Baby),English
Epik High,MICHELIN CYPHER,English
AUDREY NUNA,Baby OG,English
Wiz Khalifa,Khalifa's Home,English
Gunna,HIM ALL ALONG,English
Rod Wave,25,English
Jacquees,Who's,English
Remi Wolf,Photo ID (with Dominic Fike),English
BIBI,Feeling Lucky,English
Jackson Wang,Poison,English
mike.,These Days,English
Bob Dylan,Knockin' On Heaven's Door,English
Bryant Barnes,I'd Rather Pretend,English
Bryant Barnes,Don't Let It Be You,English
The Killers,Somebody Told Me,English
Bayaan,Teri Tasveer,Urdu
Banksman,Toll,English
Drake,Housekeeping Knows (feat. Latto),English
Drake,Circadian Rhythm,English
Drake,It's Up (feat. Young Thug & 21 Savage),English
Anuv Jain,Jo Tum Mere Ho,Hindi
Aanchal Tyagi,Gulabi,Hindi
Aditya Rikhari,Raaton,Hindi
Rema,Calm Down (with Selena Gomez),English
Yo Yo Honey Singh,Sunny Sunny (From "Yaariyan"),Hindi
Shaarib Toshi,Saturday Saturday,Hindi
Shefali Alvares,O Gujariya,Hindi
Aastha Gill,Kamariya,Hindi
Jatin-Lalit,Bole Chudiyan,Hindi
Farhan Akhtar,Senorita,Hindi
Akon,Chammak Challo,Hindi
Vishal-Shekhar,Desi Girl,Hindi
Arijit Singh,Main Tera Boyfriend (From "Raabta"),Hindi
Pav Dharia,Na Ja,Punjabi
Pritam,Mauja Hi Mauja,Hindi
Akriti Kakar,Iski Uski,Hindi
Salim–Sulaiman,Ainvayi Ainvayi,Hindi
Pritam,Raabta (Kehte Hain Khuda Ne),Hindi
Eden,Rouge,English
Barkérby,Long Distances,English
Sachin-Jigar,Taras - From "Munjya",Hindi
Vansire,Eleven Weeks,English
Vansire,Précis Two,English
Matt Maltese,Intolewd,English
Hotel Ugly,Is there free breakfast here?,English
Vansire,From the Subway Train,English
Darshan Raval,Soni Soni (From "Ishq Vishk Rebound"),Hindi
Atif Aslam,Piya O Re Piya,Hindi
Mithoon,Phir Bhi Tumko Chaahunga,Hindi
Shaan,Chaar Kadam,Hindi
Shreya Ghoshal,Sunn Raha Hai (Female Version),Hindi
Palak Muchhal,Meri Aashiqui,Hindi
Arijit Singh,Tera Chehra,Hindi
Ankit Tiwari,Sanam Teri Kasam,Hindi
Yoke Lore,Beige,English
Selena Gomez,People You Know,English
Modern Talking,Cheri Cheri Lady,English
Clean Bandit,Rather Be (feat. Jess Glynne),English
Matt Maltese,madhouse,English
Dominic Fike,She Wants My Money,English
Punch,Keep Me Busy - Inst.,English
LIM KIM,Confess To You,English
Løvesick,100$ (sped up),English
Myles Smith,My Home,English
RAYE,Worth It.,English
Tayna,Si Ai,English
Chris Brown,Yo (Excuse Me Miss),English
Steve Lacy,Bad Habit,English
VICTON,You Are Mine,Korean
Quinn XCII,Flare Guns,English
Quinn XCII,Straightjacket,English
Quinn XCII,Intro (Slow),English
Lithe,Fall Back (feat. Lil Tjay),English
Zara Larsson,Lush Life,English
The Yellow Diary,Aqda,Hindi
Quavo,Tough,English
Devi Sri Prasad,Oo Antava Oo Oo Antava (From "Pushpa - The Rise")(Telugu),Telugu
6LACK,Been A While,English
ODIE,North Face,English
Pritam,Ae Dil Hai Mushkil Title Track (From "Ae Dil Hai Mushkil"),Hindi
Arijit Singh,Tera Fitoor,Hindi
Pritam,Kalank - Title Track,Hindi
6LACK,Free,English
6LACK,Luving U,English
Russ,Seduce (Feat. Capella Grey & Tamae),English
Davido,KANTE (feat. Fave),English
Nico Baran,LOVE IS GONE,English
The Marías,No One Noticed,English
Arijit Singh,Nashe Si Chadh Gayi,Hindi
Vishal-Shekhar,Nashe Si Chadh Gayi,Hindi
Sai Abhyankkar,Aasa Kooda - From "Think Indie",Hindi
Eric Reprid,Petty King,English
Ice Spice,Pretty Girl (with Rema),English
Calvin Harris,My Way,English
DESTIN CONRAD,IN THE AIR,English
Paris Paloma,It's Called: Freefall,English
Jubin Nautiyal,Lut Gaye,Hindi
SiR,Hair Down,English
Russ,Fendi Bucket,English
Miguel,Girl With The Tattoo Enter.lewd,English
Lewis Capaldi,Someone You Loved,English
TV Girl,Blue Hair,English
Daniel Caesar,Get You (feat. Kali Uchis),English
¥$,DEAD,English
NAV,6AM Thoughts (with Cash Cobain & Bay Swag),English
Evan Freer,Suddenly,English
Evan Freer,We Weren't Wrong,English
Jack Stauber,Buttercup,English
Halal Beats,Where you are (Vocals only),English
Flawed Mangoes,The Beginning,English
Toshifumi Hinata,Reflections,Japanese
Gibran Alcocer,Idea 22,English
Billie Eilish,hotline (edit),English
Instupendo,Comfort Chain,English
Joel Sunny,Luminary,English
Labit,Someday Faraway,English
Jasmine Sandlas,Sip Sip,Punjabi
Gupz Sehra,Label Black,Punjabi
Vishal Mishra,Jaanam (From "Bad Newz"),Hindi
Dadju,I love you,French
PARTYNEXTDOOR,N o C h i l l,English
Adam Port,Move,English
Faris Shafi,Blockbuster,Urdu
Gordo,Sideways,English
Kx5,Escape (feat. Hayla),English
Manni Sandhu,Gani,Punjabi
Pritam,Ye Ishq Hai,Hindi
Badger,These Words,English
Calvin Harris,Faking It (feat. Kehlani & Lil Yachty),English
Calvin Harris,Slide (feat. Frank Ocean & Migos),English
Brent Faiyaz,Clouded,English
Pop Smoke,Something Special,English
Bryant Barnes,Don't Want A Love Song,English
Bryant Barnes,Give Me A Sign,English
Lady A,Need You Now,English
Omar Apollo,Want U Around (feat. Ruel),English
d4vd,Romantic Homicide,English
```
```csv
Artist,Name of Song,Language
The Kid LAROI,THE LINE (feat. d4vd),English
d4vd,Feel It - From The Original Series “Invincible”,English
Kamal.,blue,English
Ryan Trey,Mutual Butterflies,English
Majid Jordan,One I Want (feat. PARTYNEXTDOOR),English
Khalid,My Bad,English
Doja Cat,Paint The Town Red,English
Brent Faiyaz,Best Time,English
Kendrick Lamar,Die Hard,English
Travis Scott,90210 (feat. Kacy Hill),English
Odeal,Be Easy,English
Calvin Harris,Rollin (feat. Future & Khalid),English
Khalid,Ground,English
Bea Miller,FEEL SOMETHING DIFFERENT,English
Noah Guy,2 DOGS 1 LEASH,English
XXXTENTACION,I don’t even speak spanish lol - feat. Rio Santana, Judah, Andrez Babii,English
Nujabes,Luv(sic.) pt3 (feat. Shing02),English
Nujabes,aruarian dance,English
DANZINGER 99,regen༺♡✧+++,English
Ramriddlz,Katana,English
Justine Skye,Don’t Think About It,English
Souly Had,Crush,English
The Marías,Hush,English
Pashanim,Ms. Jackson,English
Omah Lay,Holy Ghost,English
Russ,Win,English
Steve Lacy,Dark Red,English
A$AP Rocky,Sundress,English
Childish Gambino,Feels Like Summer,English
Lana Del Rey,Doin' Time,English
Tame Impala,The Less I Know The Better,English
melvitto,Santorini Coffee,English
Tommy Richman,DEVIL IS A LIE,English
Twenty One Pilots,Heathens,English
Asake,Wave,English
Trae Tha Truth,Trae Tha Truth in Ibiza (Remix),English
Ayushmann Khurrana,Pani Da Rang - Male Vocals,Hindi
Anubha Bajaj,Lamhey,Hindi
FloyyMenor,Gata Only,English
Umair,MAKE YOU MINE (feat. Abdul Hannan & Hasan Raheem),English
Akshath,nadaaniyan,Hindi
Pink Sweat$,Honesty,English
Pink Sweat$,At My Worst (feat. Kehlani),English
Wallows,Are You Bored Yet? (feat. Clairo),English
Mustard,Parking Lot,English
BLK ODYSSY,STANK ROSE,English
Coldplay,A Sky Full of Stars,English
6LACK,Cutting Ties,English
mike.,Lost Me,English
Frank Ocean,Provider,English
Sam Smith,Dancing With A Stranger (with Normani),English
Ollie MN,In Quiet Rooms,English
Eminem,Houdini,English
Khalid,Love Lies (with Normani),English
Jhené Aiko,Sativa,English
Shoffy,Different Skies,English
Victoria Bigelow,Low,English
6LACK,F**k The Rap Game,English
Arctic Monkeys,Fluorescent Adolescent,English
Beach Bunny,Prom Queen,English
The Yellow Diary,Kahe Kahe,Hindi
Souly Had,deadman,English
Avenoir,TMW,English
Jordan Ward,MUSTARD (with 6LACK),English
Marshmello,Fell In Love,English
greek,rewind,English
Jordan Ward,IDC (with Joony),English
Jordan Ward,Player Two - From "Don't Tell Mom The Babysitter's Dead",English
Zaeden,5 am,English
Pritam,Tere Hawaale (From "Laal Singh Chaddha"),Hindi
Yo Yo Honey Singh,Blue Eyes,Hindi
Vishal Mishra,Kiddan Zaalima,Hindi
Julia Michaels,Issues,English
Julia Michaels,What A Time (feat. Niall Horan),English
The Chainsmokers,Closer,English
The Game,Hate It Or Love It,English
Tems,Free Fall (feat. J. Cole),English
Tems,Born in the Wild,English
Loud Luxury,Body,English
G-Eazy,Lady Killers II,English
The Rare Occasions,Notion,English
keshi,like i need u,English
Jordan Ward,FAMJAM4000,English
Dominic Fike,Phone Numbers,English
Still Woozy,Goodie Bag,English
Pritam,Janam Janam,Hindi
Pritam,Gerua,Hindi
Emotional Oranges,West Coast Love,English
Regard,Ride It,English
Thundercat,Funny Thing,English
Cartoon,On & On,English
Don Toliver,No Idea,English
Arijit Singh,Mast Magan,Hindi
Tomo,Paperback Novels,English
Ellie Williams,Live Cinema,English
Bess Atwell,Nobody,English
Martin Luke Brown,love is a black hole !,English
Zeph,i'll never fall in love with myself - demo,English
Novo Amor,Lucky for You,English
Jolé,Alpine Green,English
Hollow Coves,Interlude,English
Hailaker,Labradors,English
Ben Kessler,It Could Be Worse,English
Zeph,my fault,English
Matilda Mann,Doomsday,English
Matilda Mann,February,English
Badshah,Players,Hindi
Mohammad Faiz,Dekhha Tenu (From "Mr. And Mrs. Mahi"),Hindi
Calvin Harris,Sweet Nothing (feat. Florence Welch),English
Shubh,Cheques,English
Shubh,One Love,English
Central Cee,BAND4BAND (feat. Lil Baby),English
Tory Lanez,I LIKE,English
Russ,Can't Get This Right,English
Metro Boomin,Too Many Nights (feat. Don Toliver & with Future),English
Future,Type Shit,English
Future,Like That,English
BigXthaPlug,Back On My BS,English
Bryson Tiller,Whatever She Wants,English
Khalid,Better,English
Cat Trumpet,The Path of the Wind,Instrumental
Cat Trumpet,Inochi no Namae (from "Spirited Away"),Instrumental
Cat Trumpet,Waltz of Chihiro,Instrumental
Cat Trumpet,Hoshi Wa Yoru Kagayakunda Ze,Instrumental
Cat Trumpet,Hikaru Nara,Instrumental
Cat Trumpet,Shigatsu Wa Kimi No Uso,Instrumental
Cat Trumpet,Uso To Honto,Instrumental
Cat Trumpet,Kirameki,Instrumental
Masaru Yokoyama,アゲイン,Instrumental
Theishter,Watashi No Uso (Your Lie in April Original Soundtrack),Instrumental
Joe Hisaishi,The Flower Garden,Instrumental
Joe Hisaishi,Merry-Go-Round of Life - from 'Howl's Moving Castle',Instrumental
Joe Hisaishi,One Summer Day,Instrumental
Frank Kim,Kaze No Toori Michi from My Neighbor Totoro (Original Motion Picture Soundtrack) [feat. Sue],Instrumental
Sumi Shimamoto,風のとおり道,Instrumental
A Boogie Wit da Hoodie,Drowning (feat. Kodak Black),English
Chase Atlantic,Into It,English
Lil Wayne,She Will,English
The Chainsmokers,Paris,English
Russ,Best Friend,English
Jack Harlow,Like A Blade Of Grass,English
The Kid LAROI,SO DONE,English
Young Stoner Life,Diamonds Dancing (feat. Travis Scott),English
Kali Uchis,Moonlight,English
Doja Cat,Juicy,English
Crayon,Ngozi,English
NEIKED,Better Days (NEIKED x Mae Muller x Polo G),English
R. City,Locked Away (feat. Adam Levine),English
Ram Sampath,Sajni (From "Laapataa Ladies"),Hindi
anees,sun and moon,English
```
```csv
Artist,Name of Song,Language
Egzod,Royalty,English
Jessie J,Domino,English
Cö shu Nie,asphyxia,Japanese
MGMT,Electric Feel,English
Billie Eilish,LUNCH,English
Khatth,Aahista,Hindi
Prabh Singh,9:45,Punjabi
Pitbull,Timber,English
Russ,What They Want,English
Masego,What You Wanna Try,English
Cody Fry,Things You Said (feat. Abby Cates),English
Sukha,Sangdi,Punjabi
Russ,Workin On Me,English
A Boogie Wit da Hoodie,Somebody (feat. Future),English
Maninder Buttar,Sakhiyaan,Punjabi
MEMBA,Meet Freedom,English
Future,Married To The Game,English
Drake,Trust Issues,English
Shaboozey,A Bar Song (Tipsy),English
Tai Verdes,last day on earth,English
Clara La San,In This Darkness,English
Rainbow Kitten Surprise,It's Called: Freefall,English
BONES,HDMI,English
Pritam,Badtameez Dil,Hindi
Afsana Khan,Koi Si,Punjabi
KAROL G,CONTIGO (with Tiësto),Spanish
Taylor Swift,Style,English
Grupo Frontera,un x100to,Spanish
A Boogie Wit da Hoodie,Me and My Guitar,English
Sonu Nigam,Tumse Milke Dil Ka,Hindi
Badshah,Soulmate,Hindi
Tayc,Yimmy Yimmy,French
The Neighbourhood,Nervous,English
The Neighbourhood,Flawless,English
The Neighbourhood,Cry Baby,English
The Neighbourhood,Stargazing,English
The Neighbourhood,Afraid,English
Jeremy Zuckerman,A Way With Animals,Instrumental
OneRepublic,If I Lose Myself,English
M83,Midnight City,English
Ryuichi Sakamoto,Merry Christmas Mr. Lawrence,Instrumental
Ludwig Göransson,Can You Hear The Music,Instrumental
Box of Kalimba,The Avatar's Love,Instrumental
Samuel Kim,Avatar's Love,Instrumental
CJ Music,The Avatar's Love (From Avatar: The Last Airbender),Instrumental
NLE Choppa,DO IT AGAIN (feat. 2Rare),English
Lehmber Hussainpuri,Sadi Gali,Punjabi
Baby Bash,Suga Suga,English
DIVINE,Baazigar,Hindi
```csv
Artist,Name of Song,Language
Dave,Trojan Horse,English
Jaden,Cabin Fever,English
Brent Faiyaz,ADDICTIONS (FEAT. Tre' Amani),English
Money Man,Courtesy,English
Victor Thompson,THIS YEAR (Blessings) - Remix,English
Marshmello,Numb,English
A1 x J1,Night Away (Dance) (feat. Tion Wayne),English
Don Toliver,DEEP IN THE WATER,English
Maisie Peters,John Hughes Movie,English
OneRepublic,Nobody - from Kaiju No. 8,English
Milky Chance,Living In A Haze - feat. The Beaches,English
Crumb,Locket,English
Calvin Harris,Lovers In A Past Life (with Rag'n'Bone Man),English
Ozer,5 to 10,English
J. Cole,Stealth Mode (feat. Bas),English
6LACK,Inwood Hill Park,English
Lithe,Fall Back,English
Strick,COME ALIVE (feat. 6LACK),English
Jyotica Tangri,Haye Booh (From "Jatt Nuu Chudail Takri"),Punjabi
The New Pornographers,Challengers,English
Nicholas Britell,Agape,English
Txmy,Ethereal,English
Masayoshi Oishi,Super Adorable Gal,Japanese
J. Cole,3001,English
Khalid,Please Don't Fall In Love With Me,English
Future,Where My Twin @ - Bonus,English
Future,Cinderella,English
J. Cole,H.Y.B. (feat. Bas & Central Cee),English
Arijit Singh,Sooraj Dooba Hain (From "Roy"),Hindi
Badshah,Sajna, Say Yes To The Dress,Hindi
Benny The Butcher,Johnny P's Caddy,English
Eminem,Sing For The Moment,English
JAY-Z,Part II (On The Run),English
Maroon 5,She Will Be Loved,English
